period,country,cpi
1978,New Zealand,11.95661797
1979,New Zealand,13.69959502
1980,New Zealand,17.15054542
1981,New Zealand,15.37015958
1982,New Zealand,16.16369412
1983,New Zealand,7.341075861
1984,New Zealand,6.171253479
1985,New Zealand,15.41765557
1986,New Zealand,13.21339806
1987,New Zealand,15.74430079
1988,New Zealand,6.375249444
1989,New Zealand,5.715991551
1990,New Zealand,6.098444148
1991,New Zealand,2.60239286
1992,New Zealand,1.014560272
1993,New Zealand,1.288207766
1994,New Zealand,1.745377908
1995,New Zealand,3.754944137
1996,New Zealand,2.285713054
1997,New Zealand,1.187148331
1998,New Zealand,1.265244099
1999,New Zealand,-0.11426713
2000,New Zealand,2.615234462
2001,New Zealand,2.625816304
2002,New Zealand,2.677092577
2003,New Zealand,1.753574448
2004,New Zealand,2.290249028
2005,New Zealand,3.037023326
2006,New Zealand,3.365401962
2007,New Zealand,2.376143103
2008,New Zealand,3.958949373
2009,New Zealand,2.115651106
2010,New Zealand,2.30202386
2011,New Zealand,4.027906674
2012,New Zealand,1.059913184
2013,New Zealand,1.134422664
2014,New Zealand,1.227507506
2015,New Zealand,0.292704628
2016,New Zealand,0.646240284
2017,New Zealand,1.850787675
2018,New Zealand,1.598297038
2019,New Zealand,1.619631902
2020,New Zealand,1.7145617
2021,New Zealand,3.941120608
